id,date,annee,type,pays,latitude,longitude
BFO10160,30-Jun-23,2023,Strategic developments,Burkina Faso,14.04,-0.03
BFO10164,30-Jun-23,2023,Strategic developments,Burkina Faso,12.0299,1.7719
BFO10171,30-Jun-23,2023,Explosions/Remote violence,Burkina Faso,10.9966,0.5344
MAA1633,30-Jun-23,2023,Protests,Mauritania,20.9434,-17.038
MAA1636,30-Jun-23,2023,Protests,Mauritania,25.14,-11.57
MLI30435,30-Jun-23,2023,Violence against civilians,Mali,14.1005,-4.1698
MLI30437,30-Jun-23,2023,Violence against civilians,Mali,14.0674,-4.1808
MLI30455,30-Jun-23,2023,Explosions/Remote violence,Mali,14.0435,-3.6793
NIG31758,30-Jun-23,2023,Battles,Nigeria,6.2101,7.0741
NIG31771,30-Jun-23,2023,Violence against civilians,Nigeria,6.7421,6.139
NIG31805,30-Jun-23,2023,Explosions/Remote violence,Nigeria,11.5796,13.5867
NIR30068,30-Jun-23,2023,Battles,Niger,13.7043,3.9554
BFO10121,29-Jun-23,2023,Explosions/Remote violence,Burkina Faso,13.6781,-1.5461
BFO10125,29-Jun-23,2023,Explosions/Remote violence,Burkina Faso,13.9068,-1.4348
BFO10126,29-Jun-23,2023,Explosions/Remote violence,Burkina Faso,14.3806,-1.6974
BFO10145,29-Jun-23,2023,Violence against civilians,Burkina Faso,14.0366,-0.0597
BFO10158,29-Jun-23,2023,Violence against civilians,Burkina Faso,12.4634,-3.4608
BFO10167,29-Jun-23,2023,Strategic developments,Burkina Faso,12.4636,-0.0964
BFO10168,29-Jun-23,2023,Strategic developments,Burkina Faso,13.7677,0.4311
CDI2853,29-Jun-23,2023,Protests,Ivory Coast,5.2016,-4.4191
GHA1809,29-Jun-23,2023,Riots,Ghana,6.4667,-2.3333
MLI30453,29-Jun-23,2023,Protests,Mali,12.65,-8
NIG31792,29-Jun-23,2023,Riots,Nigeria,9.005,7.6736
NIG31794,29-Jun-23,2023,Strategic developments,Nigeria,5.0765,6.4634
NIG31795,29-Jun-23,2023,Strategic developments,Nigeria,5.074,6.6535
NIG31804,29-Jun-23,2023,Protests,Nigeria,7.621,5.2215
NIG31806,29-Jun-23,2023,Explosions/Remote violence,Nigeria,12.1377,5.4665
BFO10124,28-Jun-23,2023,Explosions/Remote violence,Burkina Faso,14.0875,-1.6418
BFO10135,28-Jun-23,2023,Battles,Burkina Faso,13.4103,-2.4512
BFO10152,28-Jun-23,2023,Violence against civilians,Burkina Faso,13.6331,-2.4067
BFO10153,28-Jun-23,2023,Violence against civilians,Burkina Faso,12.6675,-0.5758
MLI30416,28-Jun-23,2023,Strategic developments,Mali,14.6762,-1.9513
MLI30418,28-Jun-23,2023,Explosions/Remote violence,Mali,14.526,-4.2123
MLI30420,28-Jun-23,2023,Explosions/Remote violence,Mali,14.5409,-4.2146
MLI30432,28-Jun-23,2023,Strategic developments,Mali,16.0463,-0.4976
NIG31789,28-Jun-23,2023,Riots,Nigeria,7.7667,4.5667
SIE5129,28-Jun-23,2023,Riots,Sierra Leone,8.4871,-13.2356
SIE5130,28-Jun-23,2023,Riots,Sierra Leone,8.4871,-13.2356
BFO10133,27-Jun-23,2023,Battles,Burkina Faso,11.7759,-3.8509
BFO10151,27-Jun-23,2023,Violence against civilians,Burkina Faso,12.0731,1.7884
BFO10156,27-Jun-23,2023,Violence against civilians,Burkina Faso,13.0156,-1.3325
BFO10161,27-Jun-23,2023,Strategic developments,Burkina Faso,13.2583,-0.2131
BFO10162,27-Jun-23,2023,Strategic developments,Burkina Faso,13.5828,-2.4216
GHA1808,27-Jun-23,2023,Violence against civilians,Ghana,5.931,-1.3671
MLI30414,27-Jun-23,2023,Violence against civilians,Mali,16.2717,-0.0447
MLI30423,27-Jun-23,2023,Battles,Mali,14.0334,-3.6607
MLI30424,27-Jun-23,2023,Battles,Mali,13.9241,-6.0448
MLI30433,27-Jun-23,2023,Violence against civilians,Mali,15.8228,0.2598
